2023-10-23 06:10:50,267 INFO    MainThread:81424 [wandb_setup.py:_flush():76] Configure stats pid to 81424
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_setup.py:_flush():76] Loading settings from /home/shubham/.config/wandb/settings
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_setup.py:_flush():76] Loading settings from /home/shubham/Federated/Block_Cyclic_Overlapping_Client_Participation/wandb/settings
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Block_Cyclic_Overlapping_Client_Participation/main.py', 'program': 'main.py'}
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_init.py:_log_setup():461] Logging user logs to /home/shubham/Federated/Block_Cyclic_Overlapping_Client_Participation/wandb/run-20231023_061050-1ijs9pg5/logs/debug.log
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_init.py:_log_setup():462] Logging internal logs to /home/shubham/Federated/Block_Cyclic_Overlapping_Client_Participation/wandb/run-20231023_061050-1ijs9pg5/logs/debug-internal.log
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_init.py:init():495] calling init triggers
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {'yaml_config_file': 'fedml_config.yaml', 'run_id': '0', 'rank': 0, 'local_rank': 0, 'node_rank': 0, 'role': 'client', 'run_device_id': '0', 'using_mlops': False, 'yaml_paths': ['fedml_config.yaml'], 'backend': 'sp', 'active': 0, 'alpha_active': 1.0, 'alpha_dirichlet': 1, 'config_version': 'dev', 'mlops_api_key': 'c9356b9c4ce44363bb66366b210201', 'mlops_project_name': 'simulation_2', 'mlops_run_name': 'fedml_torch_fedavg_COCP', 'overlap_num': 5, 'overlap_percentage': 1.0, 'random_seed': 0, 'sampling_fun': 'client_sampling_cyclic_noOverlap_pattern', 'training_type': 'simulation', 'var_epoch': 0, 'data_cache_dir': '/home/shubham/fedml_data', 'dataset': 'CIFAR100', 'partition_alpha': 0.5, 'partition_method': 'hetero', 'gpu_id': 0, 'using_gpu': True, 'model': 'RESNET_18', 'enable_tracking': False, 'enable_wandb': True, 'run_name': 'E4_R75_LRe-1_Dir:1_Overlap:5', 'wandb_entity': 'shubham22124', 'wandb_key': 'd99d2566208f899b41fe157bc466bece6d1789e2', 'wandb_project': 'Cyclic and Overlapping Client Participation in Federated Setting', 'batch_size': 301, 'client_id_list': '[]', 'client_num_in_total': 100, 'client_num_per_round': 10, 'client_optimizer': 'CosAnnealing', 'comm_round': 75, 'epochs': 4, 'federated_optimizer': 'FedAvg', 'learning_rate': 0.1, 'momentum': 0.9, 'num_groups': 5, 'weight_decay': 0.0005, 'frequency_of_the_test': 1, 'worker_num': 10, 'sys_perf_profiling': True}
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_init.py:init():548] starting backend
2023-10-23 06:10:50,268 INFO    MainThread:81424 [wandb_init.py:init():552] setting up manager
2023-10-23 06:10:50,273 INFO    MainThread:81424 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-23 06:10:50,276 INFO    MainThread:81424 [wandb_init.py:init():558] backend started and connected
2023-10-23 06:10:50,279 INFO    MainThread:81424 [wandb_init.py:init():636] updated telemetry
2023-10-23 06:10:50,323 INFO    MainThread:81424 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2023-10-23 06:10:51,017 INFO    MainThread:81424 [wandb_run.py:_on_init():1982] communicating current version
2023-10-23 06:10:51,151 INFO    MainThread:81424 [wandb_run.py:_on_init():1986] got version response upgrade_message: "wandb version 0.15.12 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-10-23 06:10:51,151 INFO    MainThread:81424 [wandb_init.py:init():700] starting run threads in backend
2023-10-23 06:10:53,286 INFO    MainThread:81424 [wandb_run.py:_console_start():1962] atexit reg
2023-10-23 06:10:53,286 INFO    MainThread:81424 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2023-10-23 06:10:53,286 INFO    MainThread:81424 [wandb_run.py:_redirect():1885] Wrapping output streams.
2023-10-23 06:10:53,286 INFO    MainThread:81424 [wandb_run.py:_redirect():1907] Redirects installed.
2023-10-23 06:10:53,287 INFO    MainThread:81424 [wandb_init.py:init():732] run started, returning control to user process
